
26/8/2021  20:9  
**************************************************************
***---- ARCHIVO GENERADO EN WWW.LaWebdelaPrimitiva.com ----***
**************************************************************
HISTORICO DE SORTEOS DE Bonoloto DE 2020

FECHA; N1;N2;N3;N4;N5;N6;C;R;Pares/Impares;Decenas;Bajos/Altos
31-12-2020;  9;12;18;25;28;45; 2;5;(3/3);'12201';(4/2);
30-12-2020;  5; 8;18;44;47;49;14;7;(3/3);'21003';(3/3);
29-12-2020;  4;15;18;27;33;34;41;4;(3/3);'12120';(3/3);
28-12-2020;  8;21;22;27;35;40;13;1;(3/3);'10311';(3/3);
26-12-2020;  4; 7;14;22;36;37; 1;4;(4/2);'21120';(4/2);
25-12-2020;  5; 9;11;34;37;49;23;6;(1/5);'21021';(3/3);
24-12-2020; 16;18;23;33;38;42;37;6;(4/2);'02121';(3/3);
23-12-2020; 24;28;31;32;43;45;37;9;(3/3);'00222';(1/5);
22-12-2020;  5; 7;12;26;29;41;42;3;(2/4);'21201';(3/3);
21-12-2020; 11;22;30;37;41;42;20;8;(3/3);'01122';(2/4);
19-12-2020;  3;27;31;32;43;47; 9;4;(1/5);'10122';(1/5);
18-12-2020;  3;32;34;43;47;48; 8;4;(3/3);'10023';(1/5);
17-12-2020;  7;12;14;28;30;42;39;5;(5/1);'12111';(3/3);
16-12-2020; 23;25;30;32;34;43;16;2;(3/3);'00231';(2/4);
15-12-2020; 32;36;37;38;43;45;15;8;(3/3);'00042';(0/6);
14-12-2020;  1; 3; 4;22;29;44;16;8;(3/3);'30201';(4/2);
12-12-2020;  2; 4; 5;16;32;48;29;5;(5/1);'31011';(4/2);
11-12-2020; 21;22;24;33;42;43; 7;8;(3/3);'00312';(3/3);
10-12-2020;  2;15;16;19;33;46;47;3;(3/3);'13011';(4/2);
 9-12-2020;  6;20;24;37;38;46;29;9;(5/1);'10221';(3/3);
 8-12-2020;  4; 7;13;15;42;48;45;4;(3/3);'22002';(4/2);
 7-12-2020;  4;15;21;29;34;49;37;3;(2/4);'11211';(3/3);
 5-12-2020;  9;21;32;35;40;49;46;1;(2/4);'10122';(2/4);
 4-12-2020;  1; 4;17;18;19;32;35;6;(3/3);'23010';(5/1);
 3-12-2020;  5; 8;15;30;33;35; 1;5;(2/4);'21030';(3/3);
 2-12-2020; 13;24;29;32;35;39; 6;8;(2/4);'01230';(2/4);
 1-12-2020;  3;15;37;41;46;49;34;7;(1/5);'11013';(2/4);
30-11-2020; 13;20;24;31;32;49;33;6;(3/3);'01221';(3/3);
28-11-2020;  6;10;14;22;42;44;21;6;(6/0);'12102';(4/2);
27-11-2020;  6;31;32;33;38;44;13;4;(4/2);'10041';(1/5);
26-11-2020; 13;18;20;40;44;46;15;9;(5/1);'02103';(3/3);
25-11-2020;  2; 7;10;12;20;46;16;0;(5/1);'22101';(5/1);
24-11-2020;  2;16;26;31;39;47;23;7;(3/3);'11121';(2/4);
23-11-2020; 10;11;12;27;32;41;19;2;(3/3);'03111';(3/3);
21-11-2020; 10;14;15;18;34;41;44;7;(4/2);'04011';(4/2);
20-11-2020; 12;19;20;26;30;40;10;2;(5/1);'02211';(3/3);
19-11-2020;  8;14;21;27;36;42;48;4;(4/2);'11211';(3/3);
18-11-2020; 13;17;24;27;40;47;38;7;(2/4);'02202';(3/3);
17-11-2020; 12;15;27;34;46;47;33;1;(3/3);'02112';(2/4);
